instance,timed out,forest total time,forest regex time,forest first regex time,regel time,regel plus 60,regel_timeout,regel no sketch
cc.txt,0,4.23,3.8,3.55,11.906,71.906,0,3601
cc2.txt,0,27.64,27.37,21.25,7.172,67.172,0,3601
cc3.txt,0,29.31,29.03,21.31,7,67,0,3601
color.txt,1,3601,3601,3.68,0.04,60.04,0,3601
color2.txt,0,1.63,1.52,0.27,0.018,60.018,0,3601
date.txt,0,1.35,1.17,0.4,13.868,73.868,0,3601
date2.txt,0,20.46,19.11,0.31,6.664,66.664,0,116.023
date3.txt,0,2.75,2.31,0.35,55.358,115.358,0,3601
date4.txt,0,54.31,52.83,0.25,22.226,82.226,0,3601
date5.txt,0,3.85,2.31,0.35,49.626,109.626,0,3601
date6.txt,0,159.2,156.7,32.26,0.576,60.576,0,3601
date7.txt,0,161.06,158.52,32.68,0.545,60.545,0,3601
datetime.txt,0,1004.11,34.71,10.01,3601,3061,1,3601
datetime2.txt,0,-1,-1,-1,3601,3061,1,3601
dec.txt,0,0.63,0.46,0.23,0.772,60.772,0,75.583
dollar.txt,1,3601,3601,3601,2134.031,2194.031,0,3601
dollar2.txt,1,3601,3601,3601,1035.562,1095.562,0,3601
domain.txt,1,3601,3601,3601,806.189,866.189,0,573.558
ean.txt,0,0.77,0.52,0.33,0.012,60.012,0,0.062
ein.txt,0,0.76,0.61,0.21,0.049,60.049,0,121.074
email_simple.txt,1,3601,3601,3601,3601,3061,1,3601
grid.txt,0,9.18,8.84,3.39,411.037,471.037,0,1.107
grid2.txt,0,16,15.53,4.95,3601,3601,1,3601
gstin.txt,1,3601,3601,3601,3601,3601,1,3601
hexa.txt,0,7.25,6.82,1.5,0.013,60.013,0,3601
iban.txt,1,3601,3584.17,3601,772.23,832.23,0,0.387
iban_pt.txt,1,3601,3601,167.73,593.748,653.748,0,3601
id1.txt,0,29.84,29.43,0.83,0.024,60.024,0,106.894
id2.txt,0,0.44,0.31,0.2,0.01,60.01,0,113.267
id_ch.txt,0,15.22,15,1.21,3601,3061,1,3601
id_cl.txt,0,2.04,1.83,1.57,47.338,107.338,0,3601
id_dk.txt,0,0.78,0.6,0.5,0.05,60.05,0,98.187
id_es.txt,0,0.46,0.31,0.24,0.058,60.058,0,415.498
id_es2.txt,0,1.5,1.28,1.05,1946.575,2006.575,0,3601
id_fi.txt,1,3601,3601,3601,3601,3601,1,3601
id_kr.txt,0,1.38,1.12,0.98,0.055,60.055,0,164.561
id_mx.txt,1,3601,3601,3601,15.669,75.669,0,3601
id_pt.txt,1,3601,3601,3601,3601,3061,1,3601
id_se.txt,0,0.83,0.63,0.54,0.057,60.057,0,122.147
imei.txt,0,8.39,8.06,1.5,3601,3061,1,3601
imeisv.txt,0,51.24,50.94,0.87,119.677,179.677,0,3601
ipv4.txt,0,4.51,4.18,1.75,0.672,60.672,0,3601
ipv6.txt,1,3601,3601,3601,61.639,121.639,0,3601
isbn.txt,1,3601,3601,3601,3601,3061,1,3601
isbn10.txt,0,1886.91,1886.06,22.94,14.345,74.345,0,29.031
mac.txt,1,3601,3601,23.59,61.726,121.726,0,3601
pc_al.txt,0,1668.31,1667.46,8.39,0.057,60.057,0,94.818
pc_ca.txt,0,118.92,118.5,17.4,3601,3061,1,3601
pc_lx.txt,0,6.22,5.61,0.97,220.746,280.746,0,3601
pc_lx2.txt,0,2.21,1.82,0.66,0.052,60.052,0,37.724
pc_nl.txt,0,0.87,0.72,0.26,0.053,60.053,0,3601
pc_pt.txt,0,5.6,5.27,0.43,28.292,88.292,0,3601
pc_uk.txt,1,3601,3601,3601,3601,3601,1,3601
pc_us.txt,0,0.17,0.08,0.11,0.011,60.011,0,0.048
pc_us2.txt,0,0.65,0.45,0.58,0.012,60.012,0,1.466
pn_us.txt,0,3.41,3.17,1.51,0.999,60.999,0,142.244
signed.txt,0,1596.33,1593.87,459.46,11.627,71.627,0,3601
ssn.txt,0,2.43,2.26,0.39,1.418,61.418,0,151.102
time1.txt,0,0.65,0.52,0.16,0.047,60.047,0,95.318
time2.txt,0,0.35,0.25,0.15,0.167,60.167,0,63.313
uuid.txt,1,3601,3601,3601,3601,3601,1,3601
vr_dk.txt,0,3.46,3.28,0.26,3601,3601,1,3601
vr_es.txt,0,0.45,0.33,0.24,0.062,60.062,0,184.271
vr_fi.txt,0,0.59,0.47,0.32,0.048,60.048,0,3601
vr_it.txt,0,3.4,3.24,0.6,119.182,179.182,0,3601
vr_ke.txt,0,896.73,896.26,291.78,14.539,74.539,0,3601
vr_pt2.txt,0,2.72,2.48,0.83,3601,3601,1,3601