instance,forest, firstforest, resnax 
1      ,0.21   ,0.1       ,0.17   
2      ,68.47  ,6.42      ,12.56  
3      ,3605.42,3601      ,1.21   
4      ,0.51   ,0.13      ,0.05   
7      , -1    , -1       ,271.18 
9      ,3603.12,3601      ,1345.38
10     ,3605.16,3601      ,2.41   
11     ,25.94  ,2.84      ,30.9   
12     ,3603   ,874.31    ,4.72   
13     ,1084.39,14.3      ,50.64  
16     ,3605.45,3601      ,1.55   
17     ,14.88  ,4.9       ,0.07   
18     ,3605.28,3601      ,832.04 
19     ,3605.08,3601      ,327.13 
20     ,3605.19,3601      ,411.11 
21     ,13.18  ,6.03      ,239.88 
23     , -1    , -1       ,15.33  
24     ,3605.04,3601      ,0.08   
25     ,3605.1 ,1251.21   ,1.61   
28     ,3605.2 ,3601      ,3.72   
29     ,3605.02,3601      ,80.94  
31     ,3605.29,3601      ,0.08   
32     ,0.83   ,0.19      ,1      
33     ,287.43 ,1.87      ,0.07   
35     ,3605.23,685.66    ,151.6  
36     ,23.67  ,6         ,0.07   
37     , -1    , -1       ,130.21 
38     ,0.08   ,0.08      ,4.24   
40     ,2.2    ,0.98      ,0.05   
41     ,0.38   ,0.17      ,0.06   
43     ,228.81 ,41.56     ,0.04   
45     ,1.98   ,0.19      ,208.41 
48     ,3605.1 ,3601      ,2057.87
51     ,12.14  ,0.76      ,8.84   
53     ,450.06 ,20        ,0.05   
56     ,3605.01,3601      ,0.07   
58     ,3601   ,3601      ,0.03   
59     ,3604.91,3601      ,9.97   
60     ,3604.95,395.2     ,5.53   
61     , -1    , -1       ,1.4    
62     ,3604.91,3601      ,0.04   
63     ,3605.04,56.87     ,0.56   
64     ,151.99 ,11.01     ,0.49   
66     ,3604.95,3601      ,15.05  
68     ,3602.96,82.57     ,7.52   
70     ,74.34  ,13.46     ,26.08  
71     ,3601   ,3601      ,2.17   
72     , -1    , -1       ,4.16   
75     ,3605.01,3601      ,3.16   
76     ,3605.45,3601      ,39.52  
77     ,3603.08,3601      ,7.69   
78     ,145.02 ,111.05    ,0.07   
79     ,3605.22,3601      ,198.41 
80     ,0.42   ,0.26      ,0.09   
81     , -1    , -1       ,1.44   
84     ,3605.17,3601      ,0.9    
86     ,3604.86,3601      ,0.65   
87     , -1    , -1       ,0.04   
88     ,106.28 ,36.1      ,2.2    
89     ,3603.07,3601      ,11.79  
90     ,0.71   ,0.09      ,0.24   
92     , -1    , -1       ,3601   
93     , -1    , -1       ,1.39   
95     , -1    , -1       ,71.42  
96     ,14.51  ,3.1       ,0.02   
97     ,0.22   ,0.07      ,0.4    
98     ,3605.2 ,3601      ,1029.9 
99     ,3603.34,3601      ,140    
101    ,3605.15,3601      ,58.34  
102    ,3.52   ,0.22      ,20.36  
103    ,162.3  ,24.07     ,0.15   
104    ,3605.11,3601      ,0.25   
105    ,3605.13,3601      ,160.84 
106    ,3605.25,3601      ,114.81 
108    ,0.34   ,0.3       ,0.08   
109    ,3605.57,751.63    ,66.91  
110    ,1.28   ,0.14      ,1.8    
111    , -1    , -1       ,7.68   
112    ,3605.02,3601      ,0.1    
113    ,3604.92,3601      ,0.1    
114    ,169.71 ,0.61      ,0.06   
115    ,18.36  ,2.91      ,0.25   
116    , -1    , -1       ,124.5  
117    ,524.09 ,391.79    ,1.61   
118    ,0.37   ,0.16      ,0.07   
119    ,31.69  ,4.37      ,0.06   
120    ,1.95   ,0.88      ,2.53   
121    ,695.65 ,0.8       ,0.09   
122    ,0.35   ,0.15      ,0.07   
123    ,63.06  ,22.13     ,3.67   
124    ,3603.37,3601      ,0.08   
125    ,397.24 ,9.5       ,0.06   
126    ,85.91  ,4.09      ,0.04   